1. ORT, 9.8
83. Акула, 0.4
#Обычная акула. Полезна только в воде, но отличается хорошим здоровьем, физической силой и интеллектом выше среднего для своего вида.
84. Кот Шрёдингера, 1.7
#На первый взгляд обычный кот, но на самом деле это Кот Шрёдингера. Он способен свободно телепортироваться, пока за ним никто не наблюдает, и является бессмертным, поскольку возвращается к жизни каждый раз, когда его мёртвое тело остаётся вне наблюдения.
85. Эгислаш, 3.2
#Pokemon - Древний разумный меч и щит, парящие в воздухе. Эгислаш невероятно быстр и силён, способен без труда разрубить бронированного рыцаря пополам, блокировать чрезвычайно мощные атаки и использовать тёмную магию. Его хозяин может пользоваться им без каких-либо негативных последствий.
86. Полтергейст, 2.7
#Призрак, способный воздействовать на материальный мир при помощи психических сил. Он может метать мебель и оружие, причиняя вред врагам, а также невосприимчив к атакам, которые не способны воздействовать на души. Вы можете подпитывать его своей энергией для усиления.
87. Рэйф, 2.1
#Низший дух. Хотя рэйф почти не обладает боевыми способностями, его крайне трудно обнаружить, благодаря чему он отлично подходит для разведки и наблюдения. Даже после уничтожения он со временем восстанавливается.
88. Лупусрегина Бета, 4.0
#(Персонаж)Overlord - Горничная-клирик и оборотень с жизнерадостным, энергичным, но при этом садистским характером. Благодаря своей природе оборотня обладает значительной физической силой, а как клирик способна использовать исцеляющую магию, восстановительные заклинания и некоторые другие виды магии. Кроме того, она очень умелая горничная. Не имеет доступа к инвентарю.
89. Солюшн Эпсилон, 4.1
#(Персонаж)Overlord - Горничная-ассасин в форме слизня. За образом заботливой и доброй старшей сестры скрывается жестокая и садистская натура. Солюшн является высшим слизнем, обладающим высокой устойчивостью к физическим атакам и огромным внутренним пространством внутри своего кислотного тела. Она может использовать его как хранилище или желудок, контролируя, что именно будет растворено. Также способна выделять яды. Помимо этого, она превосходная горничная и убийца. Не имеет доступа к инвентарю.
90. Энтома Дзета, 3.2
#(Персонаж)Overlord - Горничная-арахнид, использующая насекомых и навыки ниндзя. Несмотря на милое и детское поведение, обладает ненасытной тягой к плоти. Она способна призывать множество сверхъестественных насекомых для помощи в бою, а также обладает мастерством обращения с оружием и сверхчеловеческой физической силой. И, кроме всего прочего, она... хорошая горничная. Не имеет доступа к инвентарю.
91. Рамиэль, 5.9
#Evangelion - Гигантский летающий голубой октаэдр, способный свободно изменять свою форму способами, противоречащими законам физики. Рамиэль окружён невероятно прочным А.Т.-Полем, которое может изменять по своему желанию. Он способен выпускать лучи частиц колоссальной мощности, способные расплавлять целые городские кварталы за считанные секунды с поразительной точностью. Также способен уменьшать свои размеры, хотя при этом его мощь снижается.
92. Ясака, 7.0
#(Персонаж)DxD - Девятихвостая кицунэ-ёкай, сила которой сопоставима с божественной. Ясака обладает невероятным мастерством в сендзюцу и магии, что позволяет ей черпать магическую энергию непосредственно из земли для поддержания своей огромной мощи. В истинной форме она способна на равных сражаться с большинством младших богов.
93. Актёр Пандоры, 5.6
#(Персонаж)Overlord - Великий доппельгангер, обладающий огромной силой и интеллектом. Актёр Пандоры способен принимать облик любого знакомого ему человека и использовать его способности, пусть и несколько слабее оригинала. Кроме того, он обладает гениальным интеллектом и выдающимся актёрским мастерством, позволяющим практически идеально копировать других людей. Не имеет доступа к инвентарю.
94. Нечто, 4.2
#The Thing - Чрезвычайно универсальное внеземное существо, способное ассимилировать другие организмы для маскировки и размножения. Оно может изменять тело носителя без видимого вреда для него. Интеллект Нечто ограничен интеллектом существ, которых оно поглотило.
95. Чёрный Ному, 5.5
#MHA - Почти лишённый разума мутант, напоминающий птицу и созданный посредством генной инженерии как чрезвычайно мощная боевая машина. Ному обладает огромной физической силой и выносливостью, способен поглощать физические атаки и регенерировать с невероятной скоростью. Однако он глуп как пробка, поэтому плохо подходит для самостоятельных действий без прямых приказов.
96. Слизень, 2.5
#Классический RPG-слизень — крупная синяя аморфная масса, невосприимчивая к физическому урону. Он способен плеваться кислотой и разъедать объекты своим телом. Чем больше биологической материи он получает в пищу, тем крупнее и сильнее становится. Если кормить его особыми продуктами, он даже способен эволюционировать.
97. Божественные Псы, 2.3
#Jujutsu Kaisen - Пара волков-близнецов, способных разрывать цели своими когтями и клыками. Каждый из псов способен чувствовать враждебность и негативные эмоции, предупреждая хозяина об угрозе. Их превосходное обоняние позволяет выслеживать цели на больших расстояниях. Будучи сикигами, созданными из вашей собственной тени, они становятся сильнее вместе с вами. Кроме того, они способны входить в тени и выходить из них. Если вы достаточно сильны, можно объединить обоих волков в форму Тотальности — значительно более мощную версию.
98. Нуэ, 2.8
#Jujutsu Kaisen - Крылатый сикигами, обладающий высокой скоростью и способностью генерировать электричество. Он может переносить своего хозяина во время полёта, повышая его мобильность, а также атаковать тяжёлыми крыльями, насыщенными электричеством, временно парализуя противников. Сила сикигами зависит от уровня вашей энергии.
99. Гама, 2.0
#Jujutsu Kaisen - Крупный лягушачий сикигами, помогающий хозяину своим длинным языком. Он способен захватывать цели, бросать их и швырять об различные объекты. Высокая скорость языка позволяет быстро спасать союзников из опасности. Благодаря крупным размерам Гама может переносить существ во рту для транспортировки или удержания. Сила сикигами зависит от уровня вашей энергии.
100. Орочи, 2.0
#Jujutsu Kaisen - Гигантский змеиный сикигами, способный стремительно атаковать и опутывать цели своего хозяина. Он умеет перемещаться через тени и зарываться в них, что позволяет устраивать внезапные нападения, захватывать и кусать противников. Сила сикигами зависит от уровня вашей энергии.
101. Макс Слон, 2.4
#Jujutsu Kaisen - Сикигами-слон, способный создавать и извергать огромные объёмы воды из своего хобота. Также его можно использовать для раздавливания целей, призывая прямо над ними. Сила сикигами зависит от уровня вашей собственной энергии.
102. Побег Кроликов, 3.7
#Jujutsu Kaisen - Огромный рой кроликов-сикигами, предназначенный для отвлечения противников. После призыва местность заполняют десятки, сотни и даже тысячи кроликов, создавая хаос и позволяя призывателю скрыться. Каждый кролик при этом достаточно силён, чтобы ломать кости. Количество призываемых кроликов зависит от уровня вашей энергии. По умолчанию их 333.
103. Круглый Олень, 4.7
#Jujutsu Kaisen - Огромный олень-сикигами, постоянно испускающий исцеляющую ауру положительной энергии. Она лечит живых существ и вредит нечистым созданиям. Круглый Олень может сосредоточить ауру на одной цели для ускоренного исцеления или исключить определённые цели из её воздействия. Аура способна восстанавливать даже утраченные конечности, хотя чем сильнее цель по сравнению с Оленем, тем медленнее действует лечение. Сила сикигами зависит от уровня вашей энергии.
104. Махорага, 6.3
#Jujutsu Kaisen - Самый могущественный сикигами Техники Десяти Теней. Вооружён Мечом Истребления, который наносит огромный урон нечистым существам, и обладает выдающимися физическими характеристиками. Однако его истинная сила заключается в способности адаптироваться к любым явлениям как в атаке, так и в защите. Он также может передавать эти адаптации своему хозяину. Со временем или после исчезновения адаптации пропадают, но полученные знания и способы их использования остаются. Чем сложнее явление, тем больше времени требуется Махораге для адаптации. Сила сикигами зависит от уровня вашей энергии.
105. Пауэр, 5.8
#Chainsaw Man - Пауэр является Демоном Крови, что позволяет ей управлять всей кровью в пределах своего восприятия. Она обладает выдающимися физическими характеристиками и невероятной регенерацией. Кроме того, чем сильнее её боятся, тем могущественнее она становится. Чем сильнее цель по сравнению с ней, тем труднее ей воздействовать на её кровь.
106. Демон Летучая Мышь, 3.0
#Chainsaw Man - Огромная гротескная летучая мышь размером со здание. Как демон, он способен восстанавливаться от ран, поглощая кровь. Помимо сверхчеловеческих физических характеристик, умеет летать и создавать звуковые удары, разрушающие здания.
107. Почита, 6.6
#Chainsaw Man - Демон Бензопилы, которого боятся даже другие демоны. Обладает чудовищной регенерацией и способен восстановиться из лужицы крови до полного здоровья менее чем за секунду, если потянуть за шнур на его груди. Помимо этого, Почита обладает выдающейся физической силой и несравненной скоростью.
108. Игрис, 4.5
#Solo Leveling - Один из величайших воинов в армии Монарха Теней. Игрис обладает выдающимся мастерством фехтования и рукопашного боя, которые дополняются его огромной физической мощью и телекинезом. Как теневой фамильяр, он возрождается через 24 часа после гибели.
109. Айрон, 3.7
#Solo Leveling - Один из самых стойких воинов армии Монарха Теней. Айрон отличается колоссальной прочностью и физической силой, позволяющей сокрушать врагов грубой мощью. Как теневой фамильяр, он возрождается через 24 часа после гибели.
110. Таск, 4.2
#Solo Leveling - Один из сильнейших магов армии Монарха Теней. Как бывший высший орк, Таск обладает впечатляющей физической силой, но его настоящая мощь заключается в способности использовать огромное количество шаманских заклинаний для атаки, поддержки и усиления союзников. Как теневой фамильяр, он возрождается через 24 часа после гибели.
111. Блейдвульф, 5.8
#(Техно)Metal Gear - Блейдвульф, официально обозначенный как IF Prototype LQ-84i, представляет собой четвероногий беспилотный боевой механизм в форме волка. Помимо развитого искусственного интеллекта и способности взламывать системы, он оснащён огромным арсеналом: сверхнагретыми ножами, высокочастотными цепными клинками, рельсотронами, пулемётами и множеством другого вооружения.Он невероятно умён и использует всё своё оружие с максимальной эффективностью.
112. Чёрный Нож Тиче, 3.5
#Elden Ring - Ассасин Чёрных Ножей, участвовавшая в убийстве Годвина Золотого в Ночь Чёрных Ножей. Помимо исключительного мастерства убийцы, её кинжал наделён ослабленной формой Предначертанной Смерти, благодаря чему нанесённые им раны крайне трудно исцелить, а его удары частично игнорируют прочность цели.
113. Мистер Сэр Генеральный Директор, 2.7
#Чрезвычайно талантливый и целеустремлённый человек, обладающий экспертными знаниями в политике, управлении, переговорах, корпоративной деятельности и бизнесе. Если дать ему свободу действий, он без труда поднимется по карьерной лестнице, создаст для вас собственную компанию и будет эффективно ею управлять.
114. Великий Дух Пак, 6.0
#(Персонаж)Re:Zero - Великий Дух Огня в облике пушистого кота. Несмотря на размеры, Пак является одним из сильнейших духов мира. Он способен управлять льдом, огнём и температурой в целом, создавать ледяные конструкции, замораживать целые города и понижать температуру почти до абсолютного нуля. Также обладает ограниченными способностями к исцелению, чтению эмоций и общей магии. Для поддержания своих сил ему требуется мана хозяина или энергия окружающей среды.
115. Беатрис, 5.7
#(Персонаж)Re:Zero - Могущественный Великий Дух, властвующий над магией Тьмы и Пространства. Она способна использовать множество заклинаний, управляющих гравитацией, пространством и тьмой. Однако получать ману может только от своего призывателя. При достаточном количестве энергии она способна создать даже чёрную дыру.
116. Шенрон, 6.9
#Dragon Ball - Легендарный магический дракон, способный исполнять желания. Шенрон может быть призван лишь один раз в год, после чего выполнит одно желание своего хозяина, если оно находится в пределах его возможностей.
117. Медуза Горгона, 4.4
#(Персонаж)Soul Eater - Ведьма от рождения, способная захватывать тела других существ и использовать уникальную векторную магию в сочетании с навыками рукопашного боя. Кроме того, она настоящий гений в вопросах душ и алхимии, способная создавать собственные магические вещества. Её самым известным творением является Чёрная Кровь.
118. Нётэнгу, 3.9
#(Персонаж)Dead or Alive - Женщина-тэнгу, превосходно владеющая боевыми искусствами и искусством соблазнения. Способна вызывать ветра и бури при помощи своего веера, летать и обладает усиленной физической силой.
119. Кон, 3.7
#Chainsaw Man - Кон является Демоном Лисы, воплощающим страх перед лисами. Она представляет собой гигантскую чудовищную лису, которая, как и другие демоны, способна заключать контракты с людьми и восстанавливать здоровье, поглощая кровь. Можно призывать отдельные части её тела для атак или вызвать её полностью. Люди, заключившие с ней контракт, также могут её призывать.
120. Демон Огнестрельного Оружия (20%), 6.9
#Chainsaw Man - Фрагмент одного из сильнейших демонов. Демон Огнестрельного Оружия представляет собой существо размером с небоскрёб, состоящее из оружия и человеческих останков. Он способен мгновенно прострелить сердце любого живого существа в радиусе 1000 метров и использовать свои гигантские пушки для массовых разрушений. Также он способен двигаться с абсурдной скоростью, облетая Землю за считанные минуты. Как демон, может заключать контракты и восстанавливаться, поглощая кровь.
121. Сэнко, 3.2
#(Персонаж)Sewayaki Kitsune Senko-san - Однохвостая кицунэ, превосходно справляющаяся с домашними делами и заботой о других. Хотя она умеет использовать лисий огонь, ограниченный телекинез, маскировку и барьеры, её настоящая специализация — быть идеальной женой или заботливой матерью.
122. Ёдзора, 4.1
#(Персонаж)Sewayaki Kitsune Senko-san - Четырёххвостая кицунэ с огромной мудростью. Отлично умеет управлять людьми и заботиться о них. Благодаря четырём хвостам обладает значительной магической силой, позволяющей использовать лисий огонь, телекинез, изменение восприятия, а также создавать барьеры и порталы.
123. Курама, 7.3
#Naruto - Один из Хвостатых Зверей. Девятихвостый Курама представляет собой гигантскую демоническую лису, возвышающуюся над большинством зданий. Он обладает колоссальной физической и магической силой, способен легко разрушать постройки и выпускать Бомбы Хвостатого Зверя, стирающие города. Также владеет огнём и ветром, хотя использует их скорее для разрушения, чем для точных атак. Как Хвостатый Зверь, он бессмертен, возрождается после смерти и может сливаться с человеком, даруя ему свои силы.
124. Шукаку, 6.5
#Naruto - Один из Хвостатых Зверей. Однохвостый Шукаку полностью состоит из песка. Он обладает чудовищной силой, соответствующей его размерам, а песчаное тело делает его устойчивым к физическим атакам. Кроме того, Шукаку способен создавать и контролировать песок, ветер и магнетизм, а также использовать техники запечатывания. Как Хвостатый Зверь, он бессмертен, возрождается после смерти и может сливаться с человеком, даруя ему свои силы.
125. Мататаби, 6.2
#Naruto - Один из Хвостатых Зверей. Двуххвостая Мататаби выглядит как гигантская кошка-некомата из синего пламени. Помимо огромной физической силы, она способна создавать и контролировать огонь для использования разнообразных техник. Как Хвостатый Зверь, она бессмертна, возрождается после смерти и может сливаться с человеком, даруя ему свои силы.
126. Исобу, 6.4
#Naruto - Один из Хвостатых Зверей. Трёххвостый Исобу принимает форму гигантской красно-белой черепахи с шипастым панцирем. Он обладает огромной силой и неожиданной для своих размеров ловкостью. Исобу способен создавать и контролировать воду, использовать множество водных техник и открывать проходы в собственное карманное измерение. Как Хвостатый Зверь, он бессмертен, возрождается после смерти и может сливаться с человеком, даруя ему свои силы.
127. Сон Гоку, 6.9
#Naruto - Один из Хвостатых Зверей. Четырёххвостый Сон Гоку выглядит как гигантская обезьяна с хвостами осьминога. Он обладает огромной физической силой и способен управлять огнём и землёй, часто комбинируя их для создания вулканических извержений и потоков лавы. Как Хвостатый Зверь, он бессмертен, возрождается после смерти и может сливаться с человеком, даруя ему свои силы.
128. Десятихвостый, 8.0
#Naruto - Первобытное божество, воплощение всей жизни в начале творения. Существо, созданное из чистой природной энергии, настолько слитое с окружающим миром, что способности обнаружения не способны отличить его от самой природы. Его размеры превосходят горы, а скорость делает звук медленным. Он может бесконечно выпускать Бомбы Хвостатого Зверя, уничтожающие страны, и использовать техники, вызывающие катастрофы мирового масштаба. Воплощённое разрушение. Как Хвостатый Зверь, он бессмертен, возрождается после смерти и может сливаться с человеком, даруя ему свои силы.
129. Суу, 3.5
#(Персонаж)Monster Musume - Суу — девушка-слизень. Благодаря своей природе она почти неуязвима для физических атак и способна поглощать и переваривать органическую материю. Кроме того, она может свободно менять форму тела, выделять парализующий яд и изменять состав своего тела в зависимости от того, что поглотила.
130. Сильвия, 5.8
#(Персонаж)Konosuba - Женщина-химера роста. Сильвия способна поглощать других существ, получая их физические особенности и становясь сильнее. Даже в базовой форме она обладает значительной физической мощью и знаниями базовой магии.
131. Аинз Оал Гоун, 7.8
#(Персонаж)Overlord - Верховный владыка Назарика и могущественный заклинатель-нежить. Аинз владеет сотнями заклинаний практически всех школ магии, способен призывать армии нежити, использовать магию времени, смерти, телепортации, призыва и усиления. Благодаря своей природе нежити невосприимчив к большинству ментальных воздействий, ядов и болезней. Не имеет доступа к мировым предметам.
132. Альбедо, 6.4
#(Персонаж)Overlord - Главный Страж Назарика и суккуб. Альбедо обладает выдающейся физической силой, защитой и боевым опытом. Её доспехи позволяют выдерживать атаки огромной разрушительной мощи, а её алебарда способна разрубать даже легендарных противников. Кроме того, она является выдающимся администратором и стратегом.
133. Шалти Бладфоллен, 6.5
#(Персонаж)Overlord - Истинный вампир и Страж первых трёх этажей Назарика. Шалти обладает чудовищными физическими характеристиками, владеет магией, способна призывать нежить и использовать кровавые способности. Благодаря вампирской природе она может восстанавливаться, поглощая жизненную силу противников.
134. Коцит, 6.1
#(Персонаж)Overlord - Воин-насекомое и Страж пятого этажа Назарика. Коцит является одним из лучших бойцов ближнего боя в Назарике, обладая невероятной физической силой, мастерством обращения с оружием и устойчивостью к холоду. Он способен эффективно использовать множество легендарных видов вооружения одновременно.
135. Демиург, 6.3
#(Персонаж)Overlord - Архидемон и Страж седьмого этажа Назарика. Хотя его физические способности впечатляют, истинная сила Демиурга заключается в его гениальном интеллекте, стратегическом мышлении и магических способностях. Он способен призывать демонов, использовать огненную магию и строить сложнейшие планы.
136. Аура Белла Фиора, 5.4
#(Персонаж)Overlord - Тёмная эльфийка и следопыт. Аура обладает выдающимися навыками обращения с луком, приручения монстров и разведки. Она может управлять множеством магических зверей одновременно и эффективно координировать их действия.
137. Маре Белло Фиоре, 5.7
#(Персонаж)Overlord - Тёмный эльф и могущественный друид. Маре способен использовать разрушительную магию земли и природы, изменять ландшафт, создавать землетрясения и массово уничтожать противников заклинаниями огромной площади действия.
138. Виктим, 4.6
#(Персонаж)Overlord - Ангелоподобное существо, специализирующееся на поддержке. Несмотря на слабые боевые характеристики, его способности позволяют значительно ослаблять и ограничивать врагов после собственной гибели.
139. Рубедо, 8.3
#(Персонаж)Overlord - Сильнейшее создание Назарика. Точные возможности Рубедо неизвестны, однако даже сильнейшие Стражи считают её практически непреодолимой силой. Её боевой потенциал значительно превосходит большинство существ своего мира.
140. Хамсукэ, 3.4
#(Персонаж)Overlord - Гигантский магический хомяк размером с дом. Несмотря на забавный внешний вид, Хамсукэ обладает значительной физической силой, высокой скоростью и способностью изучать боевые искусства.
141. Фенрир, 5.6
#Скандинавский волк конца времён. Этот чудовищный зверь обладает колоссальными размерами и физической мощью, достаточной для борьбы с богами. Его клыки способны разрывать практически любые материалы, а сам он отличается невероятной живучестью.
142. Ёрмунганд, 6.5
#Мировой Змей скандинавской мифологии. Огромный морской змей, способный опоясать целый мир своим телом. Его яд настолько смертоносен, что способен убивать даже божеств, а физическая мощь позволяет вызывать катастрофические приливы и разрушения.
143. Нидхёгг, 6.2
#Дракон, грызущий корни мирового древа Иггдрасиль. Обладает огромной физической силой, мощным ядовитым дыханием и исключительной выносливостью. Его когти и зубы способны разрушать даже магические материалы.
144. Сфинкс, 3.8
#Легендарное существо с телом льва и разумом великого мудреца. Сфинкс обладает высоким интеллектом, магическими способностями и склонностью задавать загадки. Кроме того, он достаточно силён, чтобы без труда расправляться с большинством смертных существ.
145. Гидра, 4.7
#Многоголовое чудовище, способное восстанавливать утраченные головы. Если одна голова будет уничтожена, на её месте со временем вырастут новые. Обладает огромной физической силой, высокой регенерацией и ядовитой кровью.
146. Пегас, 2.7
#Крылатый конь из мифов. Обладает выдающейся скоростью полёта, высоким интеллектом и способностью долго находиться в воздухе без отдыха. По умолчанию является самкой и способна размножаться.
147. Минотавр, 2.9
#Лабиринтное чудовище с телом человека и головой быка. Значительно превосходит людей по силе, выносливости и стойкости к боли. Кроме того, обладает хорошими боевыми инстинктами.
148. Лич, 4.9
#Могущественный маг-нежить, сохранивший разум после смерти. Лич способен использовать широкий спектр магии, создавать нежить, проклинать врагов и продолжать существование до тех пор, пока его филактерий остаётся целым.
149. Банши, 3.3
#Женский дух смерти. Банши способна становиться нематериальной, внушать ужас и испускать смертоносный крик, способный убивать или серьёзно ослаблять живых существ.
150. Дуллахан, 3.7
#Безголовый всадник из легенд. Этот воин-нежить обладает выдающимися боевыми навыками, высокой физической силой и способностью продолжать сражение независимо от повреждений тела.
151. Кракен, 5.8
#Легендарное морское чудовище колоссальных размеров. Его щупальца способны топить корабли и разрушать прибрежные города, а сила тела позволяет противостоять большинству морских угроз.
152. Гаруда, 5.4
#Мифическая небесная птица огромных размеров. Гаруда обладает выдающейся скоростью полёта, огромной физической силой и способностью управлять ветром и солнечным пламенем.
153. Бегемот, 5.3
#Библейское чудовище невероятной физической мощи. Его тело почти неуязвимо для обычного оружия, а размеры позволяют разрушать укрепления одной лишь грубой силой.
154. Левиафан, 6.8
#Библейский морской дракон. Это колоссальное существо обладает непревзойдённой мощью в воде, способностью создавать штормы и невероятно прочной чешуёй. Его дыхание может принимать форму разрушительного пламени.
155. Архангел, 6.6
#Высший ангел-воин, обладающий огромной физической и магической силой. Архангел способен использовать священную магию, исцеление, защитные барьеры и карающие атаки против нечистых существ.
156. Демон-Лорд, 6.7
#Владыка демонов, обладающий огромной магической силой, высоким интеллектом и способностью управлять низшими демонами. Его возможности зависят от конкретного типа, но всегда находятся на крайне высоком уровне.
157. Тараск, 7.1
#Легендарное чудовище разрушения. Тараск обладает практически непробиваемой шкурой, чудовищной физической силой и регенерацией. Большинство обычных армий неспособны причинить ему серьёзный вред.
158. Химера, 3.5
#Мифический гибрид льва, козла и змеи. Обладает высокой физической силой, огненным дыханием и несколькими независимыми органами чувств благодаря своей необычной анатомии.
159. Драугр, 2.8
#Скандинавская разумная нежить. Драугры сохраняют навыки, которыми обладали при жизни, и превосходят обычных людей по физическим характеристикам. Некоторые способны использовать примитивную магию.
160. Валькирия, 5.9
#Небесная воительница, выбирающая павших героев. Валькирия обладает выдающимися боевыми навыками, полётом, священной магией и значительно превосходит обычных смертных по всем физическим параметрам.
